ID,Number,Name,Type1,Type2,Total,HP,Atk,Def,SpAtk,SpDef,Spd,Species,Height,Weight
1003,865,Sirfetch'd,Fighting,,507,62,135,95,68,82,65,Wild Duck Pokémon,0.8 m,117.0 kg
1004,866,Mr. Rime,Ice,Psychic,520,80,85,75,110,100,70,Comedian Pokémon,1.5 m,58.2 kg
1005,867,Runerigus,Ground,Ghost,483,58,95,145,50,105,30,Grudge Pokémon,1.6 m,66.6 kg
1006,868,Milcery,Fairy,,270,45,40,40,50,61,34,Cream Pokémon,0.2 m,0.3 kg
1007,869,Alcremie,Fairy,,495,65,60,75,110,121,64,Cream Pokémon,0.3 m,0.5 kg
1008,870,Falinks,Fighting,,470,65,100,100,70,60,75,Formation Pokémon,3.0 m,62.0 kg
1009,871,Pincurchin,Electric,,435,48,101,95,91,85,15,Sea Urchin Pokémon,0.3 m,1.0 kg
1010,872,Snom,Ice,Bug,185,30,25,35,45,30,20,Worm Pokémon,0.3 m,3.8 kg
1011,873,Frosmoth,Ice,Bug,475,70,65,60,125,90,65,Frost Moth Pokémon,1.3 m,42.0 kg
1012,874,Stonjourner,Rock,,470,100,125,135,20,20,70,Big Rock Pokémon,2.5 m,520.0 kg
1013,875,Eiscue(Ice Face),Ice,,470,75,80,110,65,90,50,Penguin Pokémon,1.4 m,89.0 kg
1014,875,Eiscue(Noice Face),Ice,,470,75,80,70,65,50,130,Penguin Pokémon,1.4 m,89.0 kg
1015,876,Indeedee(Male),Psychic,Normal,475,60,65,55,105,95,95,Emotion Pokémon,0.9 m,28.0 kg
1016,876,Indeedee(Female),Psychic,Normal,475,70,55,65,95,105,85,Emotion Pokémon,0.9 m,28.0 kg
1017,877,Morpeko(Full Belly Mode),Electric,Dark,436,58,95,58,70,58,97,Two-Sided Pokémon,0.3 m,3.0 kg
1018,877,Morpeko(Hangry Mode),Electric,Dark,436,58,95,58,70,58,97,Two-Sided Pokémon,0.3 m,3.0 kg
1019,878,Cufant,Steel,,330,72,80,49,40,49,40,Copperderm Pokémon,1.2 m,100.0 kg
1020,879,Copperajah,Steel,,500,122,130,69,80,69,30,Copperderm Pokémon,3.0 m,650.0 kg
1021,880,Dracozolt,Electric,Dragon,505,90,100,90,80,70,75,Fossil Pokémon,1.8 m,190.0 kg
1022,881,Arctozolt,Electric,Ice,505,90,100,90,90,80,55,Fossil Pokémon,2.3 m,150.0 kg
1023,882,Dracovish,Water,Dragon,505,90,90,100,70,80,75,Fossil Pokémon,2.3 m,215.0 kg
1024,883,Arctovish,Water,Ice,505,90,90,100,80,90,55,Fossil Pokémon,2.0 m,175.0 kg
1025,884,Duraludon,Steel,Dragon,535,70,95,115,120,50,85,Alloy Pokémon,1.8 m,40.0 kg
1026,885,Dreepy,Dragon,Ghost,270,28,60,30,40,30,82,Lingering Pokémon,0.5 m,2.0 kg
1027,886,Drakloak,Dragon,Ghost,410,68,80,50,60,50,102,Caretaker Pokémon,1.4 m,11.0 kg
1028,887,Dragapult,Dragon,Ghost,600,88,120,75,100,75,142,Stealth Pokémon,3.0 m,50.0 kg
1029,888,Zacian(Crowned Sword),Fairy,Steel,720,92,170,115,80,115,148,Warrior Pokémon,2.8 m,355.0 kg
1030,888,Zacian(Hero of Many Battles),Fairy,,670,92,130,115,80,115,138,Warrior Pokémon,2.8 m,110.0 kg
1031,889,Zamazenta(Crowned Shield),Fighting,Steel,720,92,130,145,80,145,128,Warrior Pokémon,2.9 m,785.0 kg
1032,889,Zamazenta(Hero of Many Battles),Fighting,,670,92,130,115,80,115,138,Warrior Pokémon,2.9 m,210.0 kg
1033,890,Eternatus,Poison,Dragon,690,140,85,95,145,95,130,Gigantic Pokémon,20.0 m,950.0 kg
1034,890,Eternatus(Eternamax),Poison,Dragon,1125,255,115,250,125,250,130,Gigantic Pokémon,100.0 m,— kg
1035,891,Kubfu,Fighting,,385,60,90,60,53,50,72,Wushu Pokémon,0.6 m,12.0 kg
1036,892,Urshifu(Single Strike Style),Fighting,Dark,550,100,130,100,63,60,97,Wushu Pokémon,1.9 m,105.0 kg
1037,892,Urshifu(Rapid Strike Style),Fighting,Water,550,100,130,100,63,60,97,Wushu Pokémon,1.9 m,105.0 kg
1038,893,Zarude,Dark,Grass,600,105,120,105,70,95,105,Rogue Monkey Pokémon,1.8 m,70.0 kg
1039,894,Regieleki,Electric,,580,80,100,50,100,50,200,Electron Pokémon,1.2 m,145.0 kg
1040,895,Regidrago,Dragon,,580,200,100,50,100,50,80,Dragon Orb Pokémon,2.1 m,200.0 kg
1041,896,Glastrier,Ice,,580,100,145,130,65,110,30,Wild Horse Pokémon,2.2 m,800.0 kg
1042,897,Spectrier,Ghost,,580,100,65,60,145,80,130,Swift Horse Pokémon,2.0 m,44.5 kg
1043,898,Calyrex,Psychic,Grass,500,100,80,80,80,80,80,King Pokémon,1.1 m,7.7 kg
1044,898,Calyrex(Ice Rider),Psychic,Ice,680,100,165,150,85,130,50,King Pokémon,2.4 m,809.1 kg
1045,898,Calyrex(Shadow Rider),Psychic,Ghost,680,100,85,80,165,100,150,King Pokémon,2.4 m,53.6 kg
